# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\git\VHDL_klocka\VHDL_klock.csv
# Generated on: Wed Jun 08 11:14:56 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
hex[0][6],Output,PIN_W19,4A,B4A_N0,PIN_T8,,,,,,,,,,,,,,
hex[1][0],Output,PIN_U20,4A,B4A_N0,PIN_V6,,,,,,,,,,,,,,
hex[1][1],Output,PIN_Y20,4A,B4A_N0,PIN_W8,,,,,,,,,,,,,,
hex[1][2],Output,PIN_V20,4A,B4A_N0,PIN_AB7,,,,,,,,,,,,,,
hex[1][3],Output,PIN_U16,4A,B4A_N0,PIN_R7,,,,,,,,,,,,,,
hex[1][4],Output,PIN_U15,4A,B4A_N0,PIN_M6,,,,,,,,,,,,,,
hex[1][5],Output,PIN_Y15,4A,B4A_N0,PIN_N6,,,,,,,,,,,,,,
hex[1][6],Output,PIN_P9,3B,B3B_N0,PIN_U6,,,,,,,,,,,,,,
hex[2][0],Output,PIN_Y16,4A,B4A_N0,PIN_U7,,,,,,,,,,,,,,
hex[2][1],Output,PIN_W16,4A,B4A_N0,PIN_U8,,,,,,,,,,,,,,
hex[2][2],Output,PIN_Y17,4A,B4A_N0,PIN_U2,,,,,,,,,,,,,,
hex[2][3],Output,PIN_V16,4A,B4A_N0,PIN_C1,,,,,,,,,,,,,,
hex[2][4],Output,PIN_U17,4A,B4A_N0,PIN_G2,,,,,,,,,,,,,,
hex[2][5],Output,PIN_V18,4A,B4A_N0,PIN_N2,,,,,,,,,,,,,,
hex[2][6],Output,PIN_V19,4A,B4A_N0,PIN_U1,,,,,,,,,,,,,,
hex[3][0],Output,PIN_Y19,4A,B4A_N0,PIN_AA1,,,,,,,,,,,,,,
hex[3][1],Output,PIN_AB17,4A,B4A_N0,PIN_G1,,,,,,,,,,,,,,
hex[3][2],Output,PIN_AA10,3B,B3B_N0,PIN_G6,,,,,,,,,,,,,,
hex[3][3],Output,PIN_Y14,4A,B4A_N0,PIN_N1,,,,,,,,,,,,,,
hex[3][4],Output,PIN_V14,4A,B4A_N0,PIN_Y3,,,,,,,,,,,,,,
hex[3][5],Output,PIN_AB22,4A,B4A_N0,PIN_H6,,,,,,,,,,,,,,
hex[3][6],Output,PIN_AB21,4A,B4A_N0,PIN_C2,,,,,,,,,,,,,,
hex[4][0],Output,PIN_AA20,4A,B4A_N0,PIN_AA7,,,,,,,,,,,,,,
hex[4][1],Output,PIN_AB20,4A,B4A_N0,PIN_B7,,,,,,,,,,,,,,
hex[4][2],Output,PIN_AA19,4A,B4A_N0,PIN_L1,,,,,,,,,,,,,,
hex[4][3],Output,PIN_AA18,4A,B4A_N0,PIN_D6,,,,,,,,,,,,,,
hex[4][4],Output,PIN_AB18,4A,B4A_N0,PIN_AA2,,,,,,,,,,,,,,
hex[4][5],Output,PIN_AA17,4A,B4A_N0,PIN_A7,,,,,,,,,,,,,,
hex[4][6],Output,PIN_u22,4A,B4A_N0,PIN_W2,,,,,,,,,,,,,,
hex[5][0],Output,PIN_U21,4A,B4A_N0,PIN_D3,,,,,,,,,,,,,,
hex[5][1],Output,PIN_V21,4A,B4A_N0,PIN_U10,,,,,,,,,,,,,,
hex[5][2],Output,PIN_W22,4A,B4A_N0,PIN_E2,,,,,,,,,,,,,,
hex[5][3],Output,PIN_W21,4A,B4A_N0,PIN_AB5,,,,,,,,,,,,,,
hex[5][4],Output,PIN_Y22,4A,B4A_N0,PIN_T9,,,,,,,,,,,,,,
hex[5][5],Output,PIN_Y21,4A,B4A_N0,PIN_AB8,,,,,,,,,,,,,,
hex[5][6],Output,PIN_AA22,4A,B4A_N0,PIN_AA8,,,,,,,,,,,,,,
m_key_n,Input,PIN_M7,3A,B3A_N0,PIN_R6,,,,,,,,,,,,,,
rst_n,Input,PIN_U13,4A,B4A_N0,PIN_L2,,,,,,,,,,,,,,
s_key_n,Input,PIN_W9,3A,B3A_N0,PIN_AB11,,,,,,,,,,,,,,
start_key_n,Input,PIN_U7,3A,B3A_N0,PIN_J17,,,,,,,,,,,,,,
